Year,Indicator,ISO,Country,Breakdown,Unit of measure,Value
2010,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.12
1998,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.04
2017,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.06
2018,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.06
2003,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.04
1999,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.05
2011,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.11
2012,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.08
2013,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.07
1993,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.03
2000,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.05
2002,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.04
1992,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.02
1995,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.06
1996,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.04
1997,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.03
1994,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.04
1989,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.07
1990,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.04
1986,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.02
1987,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.03
1991,Public spending on active labour market policies,JPN,Japan,Employment incentives,Share of GDP,0.02
2015,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2016,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1988,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2014,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2020,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2022,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1985,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2021,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2004,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2005,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2006,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2001,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2019,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2007,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2008,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2009,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2010,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1998,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2017,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2018,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2003,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1999,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2011,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2012,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2013,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1993,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2000,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2002,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1992,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1995,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1996,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1997,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1994,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1989,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1990,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1986,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1987,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
1991,Public spending on active labour market policies,JPN,Japan,Start-up incentives,Share of GDP,0
2015,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2016,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
1988,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2014,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2020,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2022,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
1985,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2021,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2004,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2005,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2006,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2001,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2019,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2007,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2008,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2009,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2010,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.03
1998,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2017,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2018,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2003,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.02
1999,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2011,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.05
2012,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2013,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
1993,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2000,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.01
2002,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0.02
1992,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1995,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1996,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1997,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1994,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1989,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1990,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1986,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1987,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
1991,Public spending on active labour market policies,JPN,Japan,Training,Share of GDP,0
2015,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2014,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0
2020,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0
2004,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2005,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2006,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0
2019,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0
2007,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2008,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2009,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2010,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0
2018,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0
2011,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2012,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2013,Public spending on active labour market policies,ITA,Italy,Placement and related services,Share of GDP,0.01
2015,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2014,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2020,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2004,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2005,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2006,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2001,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.04
2019,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2007,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2008,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2009,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2010,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
1998,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.06
2018,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2003,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.03
1999,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.07
2011,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
2012,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2013,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
1993,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2000,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.05
2002,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.03
1992,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
1995,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.01
1996,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.04
1997,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0.05
1994,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
1990,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
1991,Public spending on active labour market policies,ITA,Italy,Direct job creation,Share of GDP,0
2015,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.22
2016,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.46
2014,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.13
2020,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.09
2022,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.28
2021,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.28
2004,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.24
2005,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.2
2006,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.18
2001,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.3
2019,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.07
2007,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.14
2008,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.14
2009,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.14
2010,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.14
1998,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.15
2017,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.43
2018,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.24
2003,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.35
1999,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.18
2011,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.14
2012,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.17
2013,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.16
1993,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.05
2000,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.22
2002,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.4
1992,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.04
1995,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.08
1996,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.08
1997,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.1
1994,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.08
1990,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.04
1991,Public spending on active labour market policies,ITA,Italy,Employment incentives,Share of GDP,0.03
2015,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.02
2014,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.01
2020,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
2004,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.05
2005,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.05
2006,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.04
2001,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.06
2019,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
2007,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.03
2008,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.02
2009,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.02
2010,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.02
1998,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
2018,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
2003,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.05
1999,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.01
2011,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.01
2012,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.01
2013,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.01
1993,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
2000,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.04
2002,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0.02
1992,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
1995,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
1996,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
1997,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
1994,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
1990,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
1991,Public spending on active labour market policies,ITA,Italy,Start-up incentives,Share of GDP,0
2015,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.16
2016,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.09
2014,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.14
2020,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.12
2022,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.12
2021,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.15
2004,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.22
2005,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.2
2006,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.17
2001,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.21
2019,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.13
2007,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.18
2008,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.18
2009,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.17
2010,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.14
1998,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.25
2017,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.1
2018,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.11
2003,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.26
1999,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.26
2011,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.13
2012,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.14
2013,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.15
1993,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.17
2000,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.24
2002,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.22
1992,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.24
1995,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.16
1996,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.2
1997,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.22
1994,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.16
1990,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.19
1991,Public spending on active labour market policies,ITA,Italy,Training,Share of GDP,0.29
2015,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2016,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2014,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2020,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0
2021,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0
2004,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.02
2005,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2006,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2019,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0
2007,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.02
2008,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2009,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2010,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2017,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0
2018,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0
2011,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2012,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2013,Public spending on active labour market policies,GRC,Greece,Placement and related services,Share of GDP,0.01
2015,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.06
2016,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.08
1988,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2014,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.08
2020,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.06
1985,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.01
2021,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.13
2004,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2005,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2006,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2001,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2019,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.21
2007,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.01
2008,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.01
2009,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2010,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1998,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2017,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.12
2018,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.08
2003,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1999,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2011,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2012,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2013,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1993,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2000,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2002,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1992,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1995,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1996,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1997,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1994,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1989,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1990,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
1986,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.01
1987,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0.01
1991,Public spending on active labour market policies,GRC,Greece,Direct job creation,Share of GDP,0
2015,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.1
2016,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1988,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
2014,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.07
2020,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.08
1985,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.04
2021,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.11
2004,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
2005,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.02
2006,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
2001,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.2
2019,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.1
2007,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
2008,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.04
2009,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.1
2010,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.11
1998,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
2017,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
2018,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.08
2003,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.03
1999,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.08
2011,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.02
2012,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.02
2013,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
1993,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
2000,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
2002,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1992,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1995,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
1996,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1997,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.04
1994,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1989,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1990,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
1986,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.06
1987,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.05
1991,Public spending on active labour market policies,GRC,Greece,Employment incentives,Share of GDP,0.04
2015,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2016,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
1988,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
2014,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.03
2020,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.05
1985,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0
2021,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.05
2004,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.05
2005,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0
2006,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2001,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
2019,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2007,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.03
2008,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.01
2009,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.09
2010,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.1
1998,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2017,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0
2018,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2003,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.03
1999,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.02
2011,Public spending on active labour market policies,GRC,Greece,Start-up incentives,Share of GDP,0.04
